|name        |ra        |dec      |trigger_time           |t90     |t90_error|t90_start|fluence   |fluence_error|flux_1024|flux_1024_error|flux_1024_time|lii     |bii     |error_radius|pflx_band_ampl|pflx_band_ampl_pos_err|pflx_band_ampl_neg_err|pflx_band_epeak|pflx_band_epeak_pos_err|pflx_band_epeak_neg_err|pflx_band_alpha|pflx_band_alpha_pos_err|pflx_band_alpha_neg_err|pflx_band_beta|pflx_band_beta_pos_err|pflx_band_beta_neg_err|pflx_band_phtflux|pflx_band_phtflux_error|pflx_band_phtflnc|pflx_band_phtflnc_error|pflx_band_ergflux|pflx_band_ergflux_error|pflx_band_ergflnc|pflx_band_ergflnc_error|pflx_band_redchisq|pflx_band_redfitstat|pflx_band_dof|pflx_band_statistic|
|GRB170501467|06 28 02.4|+13 42 36|2017-05-01 11:11:53.790|  47.360|    3.415|   -0.768|5.3927e-06|   4.1430e-08|   3.3127|         0.2270|         2.176|198.0912|  1.1433|      2.7400|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170430204|02 19 31.2|-15 10 12|2017-04-30 04:54:19.747|   0.384|    0.773|   -0.192|1.2047e-07|   1.7563e-08|   1.5136|         0.1974|        -0.640|187.1117|-66.2962|     62.3800|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170429799|17 18 50.4|-32 46 12|2017-04-29 19:11:12.597| 220.163|    1.379| -131.842|3.7615e-05|   1.0740e-07|   9.6420|         0.3404|         6.272|353.6479|  2.7162|      1.8200|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170428136|00 19 02.4|+56 13 48|2017-04-28 03:16:17.458|  30.464|    1.280|   -6.400|3.0003e-06|   4.0516e-08|   3.0168|         0.3388|        -0.256|118.4123| -6.3572|      7.4600|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170424425|22 54 07.2|-45 12 00|2017-04-24 10:12:30.754|  53.249|    3.167|    2.816|2.0288e-05|   7.7006e-08|   4.6811|         0.2039|        23.488|347.4185|-60.4916|      0.4300|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170423872|13 58 24.0|+26 22 12|2017-04-23 20:55:23.307|   9.984|    0.724|   -0.256|6.3122e-06|   4.7537e-08|   5.7607|         0.2848|         1.216| 33.8378| 75.0428|      2.5200|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170423719|22 57 21.6|-04 15 36|2017-04-23 17:15:08.351|  46.593|    1.145|    3.072|2.4096e-05|   6.6790e-08|  18.4406|         0.3610|        10.816| 67.9351|-54.4594|      1.1700|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170422343|12 34 31.2|+16 49 12|2017-04-22 08:13:54.623|  25.344|    0.572|    8.672|2.1568e-05|   2.5015e-08|  13.0157|         0.3487|        10.080|281.2712| 78.9736|      1.2100|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170419983|17 39 28.8|-11 13 48|2017-04-19 23:36:14.876|  15.869|    4.104|    0.003|1.5049e-06|   3.5252e-08|   3.9274|         0.2506|         4.608| 14.4701| 10.4164|      5.6600|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170419898|04 01 59.5|-15 08 35|2017-04-19 21:33:46.807|  24.064|    0.572|    0.000|2.2480e-06|   1.8932e-08|   3.7861|         0.2152|         1.216|207.7977|-44.2646|      0.0500|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170416583|18 56 52.8|-57 01 12|2017-04-16 14:00:05.852|  61.952|    0.572|   -5.120|1.1272e-05|   2.5357e-08|  13.4452|         0.3960|        -4.992|339.2373|-23.2042|      3.6500|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170414551|02 54 00.0|+75 53 24|2017-04-14 13:13:16.214|  45.824|    5.526|   -0.768|1.5505e-06|   3.3106e-08|   2.1919|         0.2103|         0.512|130.3155| 14.8064|      2.2700|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170412988|10 57 31.2|+22 01 48|2017-04-12 23:42:55.680|  31.232|    1.280|    0.256|4.8200e-06|   3.7636e-08|   4.1806|         0.2646|         2.624|217.8085| 63.6640|      2.8800|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170412917|13 27 00.0|+25 16 48|2017-04-12 22:00:47.164|  81.601|    0.923|  -26.241|1.2044e-05|   3.3778e-08|   8.1941|         0.2652|        31.680| 21.8787| 81.8140|      2.8100|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170409112|23 10 19.2|-07 04 12|2017-04-09 02:42:00.490|  68.097|    0.264|   27.712|2.8777e-04|   6.4301e-08|  60.8646|         0.5607|        38.016| 68.1943|-58.7336|      0.2250|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170405777|14 39 14.4|-25 14 38|2017-04-05 18:39:22.886|  78.593|    0.572|    7.424|7.3963e-05|   6.6154e-08|  15.8441|         0.3104|        29.504|331.6824| 31.5408|      0.0500|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170403707|16 24 09.6|+41 48 36|2017-04-03 16:57:33.246|  14.016|    1.145|   -0.640|5.8878e-06|   4.2493e-08|  10.3875|         0.3970|         0.960| 66.0768| 44.5504|      2.2800|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
|GRB170403583|17 48 19.2|+14 31 48|2017-04-03 13:59:17.798|   0.480|    0.372|   -0.096|3.9017e-07|   1.8144e-08|   3.2418|         0.2597|        -0.320| 39.2569| 20.4065|      7.1600|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                 |                       |                 |                       |                 |                       |                 |                       |                  |                    |             |                   |
