|         name |       pseudo z |   pseudo z_error | Epeak (meas) [keV] | Epeak_error (meas) [keV] |        Luminosity |  Luminosity_error |
| GRB170131969 |  2.63203605706 |   0.288218403011 |           263.0201 |                 41.39088 | 4.65277828058e+52 | 8.52213903578e+51 |
| GRB170130697 |   5.0820603123 |    1.76364879715 |            194.481 |                 115.9186 | 4.44491693395e+52 |  5.1027362206e+52 |
| GRB170130510 |  1.72202704797 |   0.229000787499 |           192.6972 |                 43.66373 | 1.61558825437e+52 | 2.91099238271e+51 |
| GRB170130302 |  1.85002831518 |   0.519419960565 |           127.4534 |                 61.20283 | 1.15166240562e+52 | 4.63205310542e+51 |
| GRB170126480 |  1.15102139501 |  0.0936708013516 |           166.1459 |                 19.68326 | 1.24428339012e+52 | 9.23785783524e+50 |
| GRB170125022 |  4.55505509495 |    1.34967341928 |            177.352 |                 86.26403 | 3.40453995031e+52 | 2.93858115406e+52 |
| GRB170124874 |  1.63302616686 |   0.131891875753 |           143.8552 |                 12.38312 | 1.40088540379e+52 | 1.07002036097e+51 |
| GRB170124238 |  2.36303339393 |   0.354149407557 |            186.756 |                 29.65451 | 2.64953762475e+52 | 5.01310536848e+51 |
| GRB170121614 |  2.50703481955 |   0.300336112599 |           583.7776 |                 124.7398 | 9.46726705917e+52 | 2.11709518652e+52 |
| GRB170121067 |  5.19406142111 |   0.385329752658 |           1553.054 |                 225.1072 | 6.57416076883e+53 | 1.79703712047e+53 |
| GRB170120471 |  1.96402944379 |    0.39723552642 |           136.7697 |                 42.25476 | 1.28212583197e+52 | 3.58617583509e+51 |
| GRB170119228 |  1.63902622626 |   0.281478157855 |           56.59306 |                 13.98854 | 1.17322035481e+52 | 2.33385680929e+51 |
| GRB170116238 |  3.68804651157 |    1.02593983326 |           314.8238 |                 155.8785 | 8.75766062912e+52 | 6.24464314924e+52 |
| GRB170115743 |  2.56403538385 |  0.0730653056292 |           1817.219 |                 85.15035 | 4.59261019055e+53 | 2.34876352919e+52 |
| GRB170115662 |  1.51002494915 |   0.236781447689 |              59.68 |                 11.43321 | 4.45883748254e+51 | 6.81671846507e+50 |
| GRB170114917 | 0.853018444784 |  0.0491577216151 |           222.0097 |                 20.35446 | 1.46392210325e+52 | 6.83130073661e+50 |
| GRB170114833 |  1.45002435514 |   0.142212057483 |           288.6134 |                 47.65173 | 2.86189206937e+52 | 3.33326115124e+51 |
| GRB170112970 |  7.63708560706 |    1.95152847142 |           538.8745 |                 276.9432 |  3.5610178488e+53 | 4.84783296946e+53 |
| GRB170111815 |  2.57303547295 |   0.440511566806 |           125.7934 |                 31.77443 | 2.10745070061e+52 | 6.02963404295e+51 |
| GRB170110967 |  4.95605906489 |   0.909763096406 |           354.4639 |                 97.63388 | 1.13604324368e+53 | 6.17211706186e+52 |
| GRB170109137 |  2.31403290883 |   0.368637603216 |           203.8479 |                 50.50829 | 2.96230064007e+52 | 7.50825856246e+51 |
| GRB170101374 |  3.17104139321 |   0.481035268912 |           138.4289 |                 13.78797 | 2.36677271135e+52 | 4.52008313525e+51 |
