|         name |       pseudo z |  pseudo z_error | Epeak (meas) [keV] | Epeak_error (meas) [keV] |        Luminosity |  Luminosity_error |
| GRB170206453 | 0.591015850959 | 0.0391235969888 |           382.8193 |                 34.17923 | 2.51953188195e+52 | 1.50483117673e+51 |
| GRB170127634 |  2.34103317613 |  0.558081956619 |           696.9158 |                 274.9997 | 9.21101488667e+52 | 5.69788080289e+52 |
| GRB170127067 | 0.563015573756 | 0.0261980655249 |           930.8628 |                 50.93115 | 7.50229660306e+52 | 2.76302152635e+51 |
| GRB170124528 |  1.06802057331 |  0.317755595235 |            184.107 |                 77.06606 | 1.20418239566e+52 | 4.69787539044e+51 |
| GRB170121133 |  1.26902256323 |   0.32493402821 |           240.7194 |                 86.72807 | 1.80553832055e+52 | 6.80000533099e+51 |
| GRB170111760 |  2.42103396814 |  0.576092413938 |           802.1448 |                 320.6566 | 1.61844253418e+53 | 1.03701833096e+53 |
| GRB161230298 |  1.88302864189 |   0.46729579159 |           430.6406 |                 155.9613 |  6.1839150891e+52 | 3.08119673678e+52 |
| GRB161218222 |  2.91903889839 |  0.326726915005 |           2041.903 |                 377.6876 | 5.81105603065e+53 | 2.01459521939e+53 |
| GRB161026373 |  1.83502816668 |  0.497792681735 |            207.184 |                 57.72955 | 2.45739788342e+52 | 1.04322040899e+52 |
| GRB161015400 |  1.53502519665 |  0.474302575591 |           256.7502 |                 119.2586 | 2.05941875731e+52 | 1.12143645841e+52 |
| GRB160829334 |  1.44802433534 |    0.4666425099 |           242.8424 |                 123.8213 | 1.85555176243e+52 | 1.04898849853e+52 |
| GRB160826938 |  1.34702333543 |  0.545478190479 |            72.9363 |                 30.60969 | 4.56247382547e+51 | 2.30195521246e+51 |
| GRB160822672 |  1.32302309783 |  0.236289418417 |           640.2372 |                 177.8453 | 6.63666666191e+52 | 1.92878213455e+52 |
| GRB160821937 |  1.29602283053 |  0.530990306262 |           125.1894 |                 75.88052 | 1.02191805324e+52 | 6.47727353482e+51 |
| GRB160820496 |  1.83202813698 |  0.397201072571 |           530.0693 |                 183.8305 | 7.84216429357e+52 | 3.56603613126e+52 |
| GRB160806584 |  1.08702076141 |   0.16267884295 |           180.5943 |                 32.11278 | 1.46802915428e+52 | 2.58329756478e+51 |
| GRB160804968 |  3.80104763028 |   1.05414939417 |           1722.469 |                 920.8385 | 6.18256688563e+53 | 7.37982325853e+53 |
| GRB160804180 |  2.08903068131 |  0.351236219525 |           1198.606 |                 347.6891 | 2.34480049526e+53 | 9.64155312147e+52 |
| GRB160726065 |  1.87502856269 |  0.478774622268 |           865.0218 |                 354.0813 | 1.46747218957e+53 | 8.00942400307e+52 |
| GRB160612842 |  1.40402389974 |  0.302807284455 |           652.9112 |                 233.7752 | 6.15586679505e+52 | 2.36131072763e+52 |
| GRB160411062 |  1.55302537485 |   0.35614655078 |           102.7589 |                 23.64955 | 9.13258729004e+51 | 2.84123018236e+51 |
| GRB160408268 |  1.77302755288 |  0.513462660136 |           593.9627 |                 298.3688 | 6.84222783384e+52 | 4.30026809992e+52 |
| GRB160406503 | 0.838018296283 |  0.164804244377 |           248.4562 |                 77.38967 | 1.45272017644e+52 | 3.53106888787e+51 |
| GRB151231568 |  1.75102733507 |  0.428941780996 |           578.0789 |                 237.7015 | 7.45557059758e+52 | 3.83457158723e+52 |
| GRB151229486 |  1.53002514715 |   0.84758992359 |           226.9345 |                 216.4868 | 1.72061855405e+52 | 1.84980216627e+52 |
| GRB151229285 |  1.33602322653 | 0.0979637234998 |           101.8448 |                 10.33207 | 1.02666688267e+52 | 1.13366027648e+51 |
| GRB151228129 |  2.12903107731 |  0.477338375274 |           963.9893 |                 351.4275 | 1.82733603655e+53 | 9.74720925427e+52 |
| GRB151222340 |  2.29503272073 |  0.592231794165 |            1161.49 |                 533.6354 | 2.06247691506e+53 | 1.43199117695e+53 |
| GRB150923864 | 0.793017850779 |  0.117268042096 |           120.8878 |                 21.12312 | 7.10562738307e+51 |  1.0085925407e+51 |
| GRB150923297 |  1.29402281073 |  0.652178573847 |           189.9169 |                 170.6284 | 1.26973609037e+52 | 1.13571449019e+52 |
| GRB150922234 |  1.15502143461 |  0.110538702066 |           675.1127 |                 95.14654 |  7.5283312735e+52 | 1.02810698229e+52 |
| GRB150912600 |  2.08703066151 |  0.577133547435 |            382.278 |                 142.2673 | 5.77436011726e+52 | 3.28559816247e+52 |
| GRB150906944 | 0.736017286473 |  0.199046743382 |           157.1643 |                 68.88925 | 7.80691763176e+51 | 2.47068535368e+51 |
| GRB150819440 | 0.414014098641 | 0.0166807722852 |           542.0575 |                 26.10186 | 3.44034810205e+52 | 9.61429374784e+50 |
| GRB150811849 |  1.24702234542 |  0.167913121363 |           745.9009 |                 151.8488 | 8.95292498198e+52 | 1.84571433659e+52 |
| GRB150810485 | 0.787017791378 |  0.112303993576 |           242.6199 |                 52.36776 | 1.44985600361e+52 | 2.38035860065e+51 |
| GRB150805746 |  1.29502282063 |  0.419831010734 |           58.38833 |                  21.3685 | 4.15096628639e+51 | 1.72386652081e+51 |
| GRB150728151 |  2.19103169112 |  0.932502918377 |           574.7437 |                 425.9215 | 7.29764370678e+52 | 7.93245222776e+52 |
| GRB150715136 |  5.72306665827 |   2.42440563271 |           1226.613 |                 1100.273 | 5.91190978649e+53 | 1.64783307344e+54 |
| GRB150705588 | 0.771017632976 |  0.468567686784 |           55.25069 |                 53.82241 | 2.31639992734e+51 | 1.67526232316e+51 |
| GRB150629564 |  5.48406429214 |   1.58667913389 |           1908.741 |                  1178.45 | 9.70347990142e+53 | 1.78815265458e+54 |
| GRB150628767 |   2.0510303051 |   0.56046714941 |            218.643 |                 46.66534 | 2.85842383661e+52 | 1.14176514758e+52 |
| GRB150604434 |  1.33402320673 |  0.284524703778 |           348.0588 |                 115.8768 |  3.2913621314e+52 | 1.15185538184e+52 |
| GRB150522944 |  2.17003148321 |   1.17517486983 |           265.8552 |                 256.5118 | 2.98412239005e+52 | 4.16503145102e+52 |
| GRB150506972 |  3.72804690757 |    1.8499531529 |           642.3626 |                 589.5518 | 1.82551416902e+53 | 3.72475578045e+53 |
| GRB150506630 |  2.13903117631 |  0.414972160437 |           959.0771 |                 326.1658 | 1.71167686459e+53 | 8.36544601261e+52 |
