|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] |        Luminosity |  Luminosity_error |
| 170419B | 0.460014554046 |   0.011234167102 |      19.6719260501 |                      0.0 | 6.08253322892e+50 | 5.75201576247e+48 |
| 170419A |  1.14702135541 |  0.0350844033083 |      59.0541672218 |                      0.0 | 3.77564162629e+51 | 7.58263897749e+49 |
| 170331A |   3.9900495014 |   0.140375057413 |      338.489353265 |                      0.0 |  9.1036239536e+52 | 3.14739525542e+51 |
| 170330A |  2.12703105751 |  0.0242771386996 |      377.828577269 |                      0.0 | 5.86811810028e+52 | 5.59907175864e+50 |
| 170318B |  12.3211319791 |   0.249409379305 |      298.597369792 |                      0.0 | 2.60821487437e+53 | 6.00159798042e+51 |
| 170318A |  2.77403746287 |  0.0995316259485 |      193.618517953 |                      0.0 | 3.25176912133e+52 | 1.05396569988e+51 |
| 170317A | 0.348013445234 | 0.00918037836449 |      16.8763152231 |                      0.0 | 4.56468205072e+50 | 3.82057537563e+48 |
| 170311A |  6.79107723157 |  0.0957331199592 |      566.905640652 |                      0.0 | 2.96657132602e+53 | 4.47993157687e+51 |
| 170307A |   1.0420203159 |  0.0529999930763 |      47.8974037325 |                      0.0 | 2.74657272409e+51 | 8.76110206959e+49 |
| 170306A |   1.9890296913 |    0.10895620793 |      124.132224064 |                      0.0 | 1.41267437908e+52 |  6.3287173851e+50 |
| 170208B | 0.335013316533 | 0.00246965412075 |      32.3379996242 |                      0.0 | 1.00194818036e+51 | 2.27796831937e+48 |
| 170208A |  6.66807601386 |  0.0428635236145 |      2601.28885791 |                      0.0 | 1.89231101556e+54 | 1.30000750802e+52 |
| 170206B |  5.70606648996 |   0.202844383498 |      242.971293314 |                      0.0 | 8.71093204991e+52 | 3.23825944536e+51 |
| 170205A |   2.0680304734 |  0.0251161739186 |      348.693825788 |                      0.0 | 5.19394875628e+52 | 5.22568655112e+50 |
| 170203A |  1.14902137521 |   0.065855661299 |      35.5136769007 |                      0.0 | 2.02283509505e+51 |  7.6184170382e+49 |
| 170127A |  12.5271340185 |   0.163393692148 |       753.34452016 |                      0.0 | 8.28969020184e+53 | 1.23060783897e+52 |
| 170115A |   7.1090803798 |   0.187692816667 |      197.957159702 |                      0.0 | 8.55112075822e+52 |  2.4324894696e+51 |
| 170111A |  1.72802710737 |  0.0737329418468 |      74.0323688056 |                      0.0 | 6.69244837311e+51 | 2.22305287841e+50 |
| 170101A | 0.329013257133 | 0.00375565011452 |        143.2486037 |                      0.0 | 6.22023167981e+51 | 2.16030094744e+49 |
| 161224A |  2.20303180992 |    0.13845862631 |      97.8136946592 |                      0.0 | 1.14810874048e+52 | 6.09949209623e+50 |
| 161220A |  3.94604906579 |  0.0841896954638 |       163.22475759 |                      0.0 | 3.67383673301e+52 | 7.68550223629e+50 |
| 161218A |  1.15002138511 | 0.00748770739407 |       439.76242319 |                      0.0 | 4.46033480819e+52 | 1.90908571273e+50 |
| 161217A |  10.5991149311 |  0.0720424032397 |      696.809491465 |                      0.0 | 6.23431730699e+53 | 4.75887311871e+51 |
| 161117B |  1.41702402844 |  0.0149346451454 |        254.4124973 |                      0.0 | 2.63024846473e+52 | 1.99738874692e+50 |
| 161113A |  2.70403676987 |  0.0564800822717 |      211.127222537 |                      0.0 | 3.53341547928e+52 | 6.62165609886e+50 |
| 161105A |  1.26802255333 |  0.0399898398536 |      65.4368889943 |                      0.0 | 4.58026208088e+51 | 9.92531977506e+49 |
| 161022A |  1.48902474125 |  0.0767633596582 |      93.8125995248 |                      0.0 | 7.99800884466e+51 | 3.03150663688e+50 |
| 161011A |  11.6091249302 |  0.0882907918979 |      1594.95842385 |                      0.0 | 1.91122590348e+54 | 1.64472907654e+52 |
| 161007A |  1.93702917649 |  0.0875052077283 |      45.6707591504 |                      0.0 | 4.04572911515e+51 | 1.48140676325e+50 |
| 160827A |  3.77104733327 |   0.119955983644 |      200.062725754 |                      0.0 | 4.51469073997e+52 | 1.39504456081e+51 |
| 160826A |  12.4501332562 |  0.0616741602797 |      940.880865446 |                      0.0 | 1.08178975247e+54 | 6.09637121807e+51 |
| 160824A | 0.701016939969 |   0.028786621826 |      23.8027885148 |                      0.0 | 9.28973189703e+50 | 1.93213348456e+49 |
| 160801A |  2.26003237422 |  0.0621359159335 |      141.492245848 |                      0.0 | 1.84679743196e+52 | 4.32605400299e+50 |
| 160716A |  4.68905642156 |   0.104839213391 |       312.93340809 |                      0.0 | 9.71048519702e+52 | 2.19925873851e+51 |
| 160709A |  1.15702145441 |  0.0391965920561 |      96.5623179839 |                      0.0 | 6.95162730302e+51 |  1.5525021396e+50 |
| 160705B |  4.11505073891 |   0.168568231051 |      174.142855133 |                      0.0 |  4.1468104645e+52 | 1.67954580295e+51 |
| 160703A |  1.12802116731 |  0.0134669432418 |      172.828570328 |                      0.0 | 1.39779130969e+52 | 1.08714458032e+50 |
| 160630A |  2.31103287913 |  0.0626474679498 |      146.453218231 |                      0.0 | 1.96326047887e+52 | 4.56530540984e+50 |
| 160625A |  1.60902592926 |  0.0213355578271 |      176.563425784 |                      0.0 | 1.84312784568e+52 | 1.85239222808e+50 |
| 160611A |  2.60003574026 |  0.0586320319002 |      265.703466635 |                      0.0 | 4.52743037692e+52 | 9.06216146469e+50 |
| 160607A | 0.988019781298 | 0.00547562116754 |      411.120221729 |                      0.0 | 3.72780454385e+52 | 1.26187898717e+50 |
| 160506A |   2.0470302655 |   0.268851893192 |      49.7122306884 |                      0.0 |  4.6993756087e+51 | 5.09598771464e+50 |
