|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] |        Luminosity |  Luminosity_error |
| 170428A |  2.87203843308 |  0.0286912965958 |      407.039093107 |                      0.0 | 8.35876678514e+52 | 7.61210213577e+50 |
| 170325A |  3.62904592746 |   0.076081617877 |      272.469060917 |                      0.0 | 6.35661840828e+52 |  1.2840036957e+51 |
| 170112A |  3.37404340293 |   0.138227646579 |      84.6141202903 |                      0.0 | 1.40906364137e+52 | 5.47260770327e+50 |
| 161104A |   2.9940396409 |  0.0676007456344 |      123.870899343 |                      0.0 | 2.01227324221e+52 | 4.18579495747e+50 |
| 160714A |  3.10304072001 |   0.111456985868 |      214.257435509 |                      0.0 |  4.0787990851e+52 |  1.3617132498e+51 |
| 160624A |    5.065060144 |  0.0831046622228 |      241.046239711 |                      0.0 |  7.6222172254e+52 | 1.28358159499e+51 |
| 160601A |  1.32802314733 |   0.063939991015 |      49.0761630255 |                      0.0 | 3.32481488521e+51 | 1.12228880261e+50 |
| 160525B |  1.68402667177 |  0.0727937141018 |      71.1230430917 |                      0.0 | 6.24545417443e+51 | 2.08172309527e+50 |
| 151205B |  3.55404518495 |    0.11929019863 |      182.634940867 |                      0.0 | 3.81118699162e+52 | 1.22692938157e+51 |
| 151127A |  6.15307091531 |  0.0992559779815 |      274.478909742 |                      0.0 |  1.0951270953e+53 | 1.86758574081e+51 |
| 150831A |  2.67403647286 |  0.0347748121825 |       427.19626243 |                      0.0 | 8.31937062902e+52 | 9.67751125849e+50 |
| 150728A |  2.93203902709 |  0.0807351478483 |      103.392456734 |                      0.0 | 1.58144832211e+52 | 3.99072418401e+50 |
| 150710A |  2.44403419584 |  0.0547534552135 |      102.860575134 |                      0.0 | 1.33566381432e+52 | 2.60971522206e+50 |
| 150301A |  5.48406429214 |  0.0818983964619 |      480.600229222 |                      0.0 | 1.93258734979e+53 | 2.99998512575e+51 |
| 150101A |  12.2831316029 |   0.083404574104 |      725.696598005 |                      0.0 | 7.74111626778e+53 | 5.97372005987e+51 |
| 140930B |  1.40102387004 |  0.0296774185211 |      179.781193148 |                      0.0 | 1.70165054877e+52 | 2.58494855713e+50 |
| 140606A |  5.60306547025 |  0.0814999631941 |      282.988574517 |                      0.0 | 1.03069554241e+53 | 1.56348633531e+51 |
| 140516A |   4.0590501845 |  0.0842650444289 |      170.516270148 |                      0.0 |  3.9856819477e+52 | 8.15892590418e+50 |
| 140320A |  3.88704848168 |   0.140216511097 |      184.930924925 |                      0.0 |  4.2215015393e+52 | 1.48857713598e+51 |
| 140129B |  4.44205397624 |  0.0935279157652 |      316.432196897 |                      0.0 | 9.32255016557e+52 | 1.96908753664e+51 |
| 130626A |  2.80403775988 |  0.0887228286928 |      155.762428871 |                      0.0 | 2.51301022364e+52 |   7.203386188e+50 |
| 130313A |  6.21407151922 |  0.0791506694115 |       334.38551208 |                      0.0 |  1.4107785028e+53 | 1.90232565513e+51 |
| 121226A |  2.69503668077 |  0.0740607453788 |      234.112137994 |                      0.0 | 4.00096290292e+52 | 9.85566043859e+50 |
| 120804A | 0.761017533975 |  0.0110437559127 |      152.317962303 |                      0.0 | 9.48888490779e+51 | 7.31341437649e+49 |
| 120630A |  2.40303378994 |   0.108882409825 |      100.256823315 |                      0.0 | 1.27487630256e+52 | 5.01315802046e+50 |
| 120521A |  3.18704155162 |  0.0456419078706 |      189.498733681 |                      0.0 | 3.59787867895e+52 | 4.82008744154e+50 |
| 120403A |  8.82709738817 |  0.0603835911249 |      1145.38369969 |                      0.0 | 9.36602653123e+53 | 7.07295580329e+51 |
| 120305A |  3.93304893709 |  0.0382626159544 |      542.166241154 |                      0.0 | 1.60119524288e+53 | 1.52635449144e+51 |
| 120229A |  4.11705075871 |  0.0842845798372 |      174.317782425 |                      0.0 | 4.15264714873e+52 | 8.40630831974e+50 |
| 111020A |  5.73806680677 |  0.0900245816012 |      474.362389679 |                      0.0 | 1.99333355519e+53 | 3.27308783129e+51 |
| 110112A |  7.62708550806 |   0.145048816745 |      469.339571857 |                      0.0 | 2.66634702484e+53 | 5.50958189398e+51 |
| 101224A |   2.0270300675 |   0.101996643536 |      77.1791436426 |                      0.0 | 8.00748804407e+51 | 3.31602142101e+50 |
| 100702A |  3.79804760058 |  0.0420059247859 |      475.306520238 |                      0.0 | 1.31657828115e+53 | 1.41659129131e+51 |
| 100628A |  4.69705650077 |  0.0838586898544 |      214.029716117 |                      0.0 | 6.09954600197e+52 | 1.10343547021e+51 |
