GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
#	170405A	18:39:48	219.824	-25.236	1.3	164.7	37	3	n/a	n/a	3.510 (GTC: absorption)
170202A	18:28:02	152.526	5.021	1.0	46.2	33	1	4.7	0.3	3.645 (GTC: absorption and emission)|3.65 (Xinglong: absorption)|3.645 (VLT: absorption and emission)
170113A	10:04:05	61.735	-71.933	1.3	20.66	6.7	0.7	1.1	0.1	1.968 (VLT: absorption)
161219B	18:48:39	91.717	-26.801	1.0	6.94	15	1	5.3	0.4	0.1475 (VLT: absorption)| 0.1475 (GTC: absorption)
161129A	07:11:39	316.221	32.137	1.8	35.53	36	1	3.4	0.2	0.645 (GTC: emission from host))
161117A	01:35:36	322.053	-29.612	1.0	125.7	200	0.0	6.8	0.3	1.549 (VLT: absorption)
161108A	03:32:33	180.776	24.905	1.9	105.1	11	1	0.6	0.1	1.159 (NOT: absorption & emission)
161017A	17:51:51	142.770	43.125	1.0	216.3	53	2	2.8	0.2	2.0127 (GTC: absorption)|2.01 (TNG: absorption)
161014A	12:31:22	332.626	7.467	1.5	18.3	19	2	2.9	0.6	2.823 (GTC: absorption)|2.823 (VLT: absorption)
160804A	01:32:47	221.652	10.002	1.3	144.2	114	3	2.9	0.3	0.736 (VLT: absorption & emission)
#	160703A	12:10:05	287.414	36.913	1.0	44.4	90	2	5.8	0.3	The detection in all UVOT filters is consistent with a redshift of z < ~1.5
160425A	23:26:11	280.339	-54.343	3.5	304.58	21	2	2.8	0.2	0.555 (VLT: emission)
160410A	05:09:48	150.695	3.461	1.5	8.2	7.8	0.8	3.5	0.3	1.717 (VLT: absorption)|1.72 (Keck-I: absorption)
160327A	09:16:07	146.698	54.018	1.0	28	14	1	1.8	0.2	4.99 (GTC: absorption, probably redshift)
160314A	11:32:51	112.766	17.024	1.7	8.73	2.8	0.4	0.9	0.2	0.726 (VLT: emission from host)
#	160303A	10:54:42	168.710	22.710	2.1	5.0	1.5	0.3	1.0	0.1	<2.3 (VLT, redshift limit)
160227A	19:32:08	195.034	78.672	2.8	316.5	31	2	0.6	0.1	2.380 (NOT: absorption)
160203A	02:13:10	161.967	-24.772	1.7	20.2	12	1	1.3	0.4	3.520 (VLT: absorption)
160131A	08:20:31	78.170	-7.037	1.1	325	204	5	6.4	0.3	0.970 (TNG: absorption)|0.972 (GTC: absorption)|0.97 (Xinglong: absorption)
160121A	13:50:37	109.080	-23.590	1.2	12.0	6.1	0.5	1.2	0.2	1.960 (GTC: absorption)
#	160117B	13:59:27	132.190	-16.340	3	n/a	n/a	n/a	n/a	n/a	0.870 (VLT: absorption)| 0.86 (TNG: absorption and emission)
151215A	03:01:28	93.622	35.529	2.8	17.8	3.1	0.7	1.6	0.2	2.590 (NOT: absorption)
151112A	13:44:48	2.050	-61.680	2.6	19.32	9.4	1.2	1.9	0.2	4.100 (MPG: photometric)
151111A	08:33:23	56.850	-44.154	1.0	76.93	17	1	1.0	0.1	3.500 (MPG: photometric)
151031A	05:50:30	83.189	-39.125	1.3	5.00	3.2	0.3	1.7	0.2	1.167 (VLT: absorption)
151029A	07:49:39	38.537	-35.356	1.8	8.95	3.9	0.6	1.8	0.3	1.423 (VLT: absorption)
#	151027B	22:40:40	76.188	-6.428	2.4	80.00	15	3	n/a	n/a	4.063 (VLT: absorption)
#	151027A	03:58:24	272.498	61.361	1.1	129.69	78	2	6.8	0.6	0.380 (XRT: tentative)|0.81 (Keck: absorption)|0.81 (GMG: absorption)
151021A	01:29:12	337.647	-33.189	1.0	110.2	280	10	9.7	0.8	2.330 (VLT: absorption)
150915A	21:18:24	319.675	-34.874	2.3	164.7	8.0	1.8	0.5	0.2	1.968 (VLT: absorption)
150910A	09:04:48	5.677	33.466	2.3	112.2	48	4	1.1	0.4	1.359 (Lick: absorption)|1.360 (GTC: absorption)
#	150821A	09:44:00	341.913	-57.883	1.7	172.1	7.9	1.9	n/a	n/a	0.755 (VLT: absorption)
150818A	11:36:32	230.340	68.342	1.1	123.3	41	2	2.4	0.3	0.282 (GTC: emission from possible host)
150727A	19:02:02	203.968	-18.320	1.0	88	37	2	1.0	0.2	0.313 (VLT: emission)
#	150424A	07:42:57	152.305	-26.646	1.0	91	15	1	12.0	0.4	<3 (GTC)
150423A	06:28:04	221.601	12.264	1.9	0.22	0.63	0.10	0.9	0.1	1.394 (VLT: absorption, tentative)
150413A	13:54:58	190.396	71.839	1.9	263.6	43	4	1.6	0.3	3.200 (CAHA: absorption)|3.139 (Asiago: absorption)
150403A	21:54:16	311.505	-62.706	1.0	40.90	170	3	17.6	-.6	2.060 (VLT: absorption)
150323A	02:49:14	128.173	45.442	2.07	149.6	61	2	5.4	0.3	0.593 (Keck I: absorption and emission)
150314A	04:55:16	126.661	63.839	1.0	14.79	220	3	38.5	0.9	1.758 (GTC: absorption)
150301B	19:38:04	89.159	-57.969	1.0	12.44	18	1	3.0	0.2	1.5169 (VLT: absorption)
150206A	14:30:02	10.076	-63.181	1.0	83.2	139	3	10.1	0.4	2.087 (VLT: absorption)
150120A	02:57:46	10.330	33.980	1.5	1.20	1.4	0.2	1.8	0.2	0.460 (Gemini-North: emission, possible host)
#	150101B	15:23:00	188.044	-10.956	2.5	0.018	0.23	0.06	n/a	n/a	0.093 (GTC: emission from host)
