GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]
170428A	09:13:42	330.051	26.913	1.2	0.20	2.8	0.2	2.8	0.2
170419B	21:33:46	60.494	-15.121	1.4	77.2	19	2	2.4	0.2
170419A	13:26:40	79.854	-21.433	1.7	8.18	3.1	0.5	1.5	0.2
#	170405A	18:39:48	219.824	-25.236	1.3	164.7	37	3	n/a	n/a
170331A	01:40:46	323.778	-24.406	2.0	17.57	9.7	1.6	1.2	0.4
170330A	22:29:51	283.331	-13.458	1.6	144.73	56	3	4.5	0.3
170325A	07:56:57.95	127.483	20.526	2.0	0.3	0.88	0.13	1.1	0.2
170318B	15:27:52	284.229	6.335	3.7	160.0	5.5	1.9	0.1	0.1
170318A	12:11:56	305.662	28.408	1.2	133.7	37	3	1.2	0.3
170317A	09:45:59	93.087	50.500	1.0	11.94	13	1	3.5	0.3
170311A	08:08:42	280.539	-30.041	2.0	6.32	2.5	0.5	0.8	0.2
170307A	20:24:21	13.510	9.538	2.5	56.92	13	2	1.4	0.3
170306A	07:06:12	263.087	-44.765	2.4	17.8	8.3	1.4	1.3	0.4
170208B	22:33:38	127.145	-9.027	1.0	128.07	61	2	8.4	0.2
170208A	18:11:16	166.544	-46.786	1.4	7.45	15	1	5.4	0.6
170206B	21:57:25	271.784	11.175	2.2	13.36	3.2	0.6	0.4	0.2
170205A	12:39:09	262.157	-0.058	1.0	26.1	38	1	4.3	0.3
170203A	00:03:41	332.861	25.186	2.2	45.2	6.2	1.1	0.8	0.2
170202A	18:28:02	152.526	5.021	1.0	46.2	33	1	4.7	0.3
#	170131A	23:15:13	341.447	64.006	3	n/a	n/a	n/a	n/a	n/a
170127B	15:13:28	19.997	-30.340	1.9	0.51	1.0	0.2	1.1	0.2
170127A	14:21:15	174.382	-45.827	2.4	62.26	5.2	1.0	0.3	0.2
170126A	11:30:42	263.623	-64.755	1.0	9.5	28	3	7.3	1.1
170115A	20:50:08	332.145	13.750	1.9	48.0	4.7	0.8	0.2	0.1
170113A	10:04:05	61.735	-71.933	1.3	20.66	6.7	0.7	1.1	0.1
170112A	02:02:00	15.232	-17.233	2.5	0.06	0.13	0.04	0.3	0.1
170111A	00:33:28	20.688	-32.541	2.1	29.9	8.1	1.1	0.9	0.2
170101A	02:26:01	267.089	11.642	1.1	2.43	60	2	54.4	2.0
161224A	22:13:34.64	204.820	-18.028	1.9	47.04	8.2	1.3	0.8	0.3
161220A	08:33:30	350.841	-47.480	2.0	6	1.7	0.3	0.5	0.1
161219B	18:48:39	91.717	-26.801	1.0	6.94	15	1	5.3	0.4
161218A	03:47:36	245.250	-4.113	1.0	7.1	67	1	17.6	0.5
161217A	01:27:34	150.658	52.344	2.1	18.2	1.9	0.4	0.4	0.1
161214B	17:20:10	3.857	7.342	1.0	24.8	21	1	2.2	0.2
#	161202A	23:12:52	356.904	19.652	1.0	n/a	86	3	5.9	0.3
161129A	07:11:39	316.221	32.137	1.8	35.53	36	1	3.4	0.2
161117B	09:49:43	298.830	-67.681	1.5	152.51	60	2	6.0	0.3
161117A	01:35:36	322.053	-29.612	1.0	125.7	200	0.0	6.8	0.3
161113A	17:30:26	179.794	-5.316	1.0	42.60	15	1	1.4	0.2
161108A	03:32:33	180.776	24.905	1.9	105.1	11	1	0.6	0.1
161105A	04:53:02	120.198	-44.763	1.2	177.3	61	2	1.4	0.2
161104A	09:42:26	77.906	-51.447	1.8	0.1	0.31	0.05	0.6	0.1
161022A	02:43:40	128.988	54.366	2.1	7.3	7.5	1.0	1.6	0.4
161017A	17:51:51	142.770	43.125	1.0	216.3	53	2	2.8	0.2
