| common ID | Swift name |   Fermi name | BAT Trigger-time | GBM Trigger-time | BAT RA | GBM RA | BAT Dec | GBM Dec | BAT T90 | GBM T90 | GBM T90_error |     GBM flux | GBM flux_error |    Epeak | Epeak_error |       alpha | alpha_error |      beta |   beta_error |
|    170127 |    170127B | GRB170127634 |           15.224 |           15.225 |  1.333 |  1.332 |  -30.34 | -30.359 |    0.51 |   1.728 |         1.346 | 3.117144e-06 |    4.60779e-07 | 696.9158 |    274.9997 |  -0.6733344 |   0.2319193 | -1.849771 |    0.5392072 |
|    170126 |    170126A | GRB170126480 |           11.512 |           11.512 | 17.575 | 17.576 | -64.755 | -64.761 |     9.5 |  13.824 |         3.083 | 1.840366e-06 |   9.597996e-08 | 166.1459 |    19.68326 |  -0.4581369 |   0.1125678 | -2.201035 |    0.1909621 |
|    161214 |    161214B | GRB161214722 |           17.336 |           17.336 |  0.257 |  0.203 |   7.342 |   14.12 |    24.8 |   23.04 |         1.379 | 4.285674e-07 |   6.359612e-08 | 61.47888 |    21.89879 |  -0.6636204 |   0.6876402 | -1.858465 |    0.4249465 |
|    161129 |    161129A | GRB161129300 |            7.194 |            7.194 | 21.081 | 21.082 |  32.137 |  32.136 |   35.53 |  36.096 |         0.724 | 8.389596e-07 |   8.916533e-08 | 275.5368 |    58.74482 |  -0.8779568 |   0.1441641 | -13.78125 |    1629616.0 |
|    161117 |    161117A | GRB161117066 |            1.593 |            1.592 |  21.47 |  21.47 | -29.612 |  -29.61 |   125.7 | 122.178 |         0.659 | 7.345907e-07 |    7.91886e-08 | 70.51263 |    7.182095 |  -0.8129429 |   0.1804556 | -3.131097 |     29.20988 |
|    161017 |    161017A | GRB161017745 |           17.864 |           17.869 |  9.518 |  9.518 |  43.125 |  43.142 |   216.3 |  32.256 |         8.083 | 7.984749e-07 |   1.087609e-07 | 416.6937 |    138.0267 |   -1.229788 |   0.1424991 | -5.099497 |     123.8307 |
|    161014 |    161014A | GRB161014522 |           12.523 |           12.521 | 22.175 | 22.177 |   7.467 |   7.469 |    18.3 |  36.609 |         1.493 | 7.285402e-07 |    7.23499e-08 | 202.0655 |    27.06123 |  -0.5176876 |   0.1278938 | -11.96093 |     154897.1 |
|    161004 |    161004B | GRB161004964 |           23.133 |           23.132 |  7.477 |  7.477 | -39.896 | -39.895 |    15.9 |   14.08 |         0.923 | 2.387236e-06 |   9.784324e-08 | 172.7153 |    21.16985 |  -0.4704297 |   0.1250448 | -2.292336 |    0.3035834 |
|    161001 |    161001A | GRB161001045 |            1.088 |            1.088 |  4.795 |  4.795 | -57.261 | -57.261 |     2.6 |    2.24 |         0.232 | 1.559288e-06 |   1.068464e-07 | 441.6991 |    57.08487 |  -0.7256718 |  0.09302208 | -13.31482 |     349696.0 |
|    160917 |    160917A | GRB160917479 |           11.505 |           11.505 |  19.71 | 19.711 |    46.4 |  46.403 |    16.0 |  19.712 |          4.36 | 1.617899e-06 |   1.037387e-07 | 817.4828 |     161.228 |   -0.681903 |  0.09795523 | -2.332379 |    0.7032158 |
|    160905 |    160905A | GRB160905471 |           11.316 |           11.316 | 10.817 | 10.816 | -50.803 | -50.801 |    64.0 |  33.537 |         1.379 | 5.959532e-06 |   1.537266e-07 | 828.4585 |    94.81891 |  -0.7842146 |  0.04720068 | -2.681909 |    0.6932025 |
|    160821 |    160821B | GRB160821937 |           22.487 |           22.487 | 18.667 | 18.666 |  62.387 |  62.393 |    0.48 |   1.088 |         0.977 | 1.045354e-06 |    2.75467e-07 | 125.1894 |    75.88052 |  -0.6625379 |    0.654335 | -2.409778 |     1.110499 |
|    160815 |    160815A | GRB160815490 |           11.753 |           11.753 | 19.241 | 19.249 |  84.298 |  84.282 |     8.6 |   6.848 |         1.493 | 5.492924e-07 |   5.505575e-08 | 82.37572 |    6.981468 |  -0.4624143 |   0.1852038 | -3.221165 |      1.08442 |
|    160804 |    160804A | GRB160804065 |            1.546 |            1.571 | 14.777 | 14.775 |  10.002 |   9.999 |   144.2 | 131.586 |        21.723 | 4.182944e-07 |   6.692841e-08 | 86.65006 |    58.73652 |   -1.018988 |   0.4247167 | -2.028896 |     3.246361 |
