| common ID | Swift name |   Fermi name | BAT Trigger-time | GBM Trigger-time | BAT RA | GBM RA | BAT Dec | GBM Dec | BAT T90 | GBM T90 | GBM T90_error | redshift |     GBM flux | GBM flux_error |    Epeak | Epeak_error |      alpha | alpha_error |      beta |   beta_error |      Luminosity | Luminosity_error |
|    161129 |    161129A | GRB161129300 |            7.194 |            7.194 | 21.081 | 21.082 |  32.137 |  32.136 |   35.53 |  36.096 |         0.724 |    0.645 | 8.389596e-07 |   8.916533e-08 | 275.5368 |    58.74482 | -0.8779568 |   0.1441641 | -13.78125 |    1629616.0 |   0.14901987585 |   0.144487343491 |
|    161117 |    161117A | GRB161117066 |            1.593 |            1.592 |  21.47 |  21.47 | -29.612 |  -29.61 |   125.7 | 122.178 |         0.659 |    1.549 | 7.345907e-07 |    7.91886e-08 | 70.51263 |    7.182095 | -0.8129429 |   0.1804556 | -3.131097 |     29.20988 |   1.32776864517 |    1.28940032778 |
|    161017 |    161017A | GRB161017745 |           17.864 |           17.869 |  9.518 |  9.518 |  43.125 |  43.142 |   216.3 |  32.256 |         8.083 |    2.012 | 7.984749e-07 |   1.087609e-07 | 416.6937 |    138.0267 |  -1.229788 |   0.1424991 | -5.099497 |     123.8307 |   2.61689303534 |    2.61562209437 |
|    161014 |    161014A | GRB161014522 |           12.523 |           12.521 | 22.175 | 22.177 |   7.467 |   7.469 |    18.3 |  36.609 |         1.493 |    2.823 | 7.285402e-07 |    7.23499e-08 | 202.0655 |    27.06123 | -0.5176876 |   0.1278938 | -11.96093 |     154897.1 |   5.10106043195 |    4.91033983782 |
|    160804 |    160804A | GRB160804065 |            1.546 |            1.571 | 14.777 | 14.775 |  10.002 |   9.999 |   144.2 | 131.586 |        21.723 |    0.736 | 4.182944e-07 |   6.692841e-08 | 86.65006 |    58.73652 |  -1.018988 |   0.4247167 | -2.028896 |     3.246361 | 0.0985552787168 |   0.100852273132 |
|    151111 |    151111A | GRB151111356 |            8.556 |            8.556 |   3.79 |   3.79 | -44.154 | -44.161 |   76.93 |  46.336 |         4.382 |      3.5 | 1.368539e-07 |   5.791084e-08 | 108.4304 |     44.1952 |  0.3111471 |    1.152251 | -2.770742 |     1.780137 |   1.53106850069 |    1.96966093302 |
|    150727 |    150727A | GRB150727793 |           19.034 |           19.032 | 13.598 | 13.599 |  -18.32 |  -18.36 |    88.0 |  49.409 |         3.974 |    0.313 | 3.708029e-07 |   5.216092e-08 | 85.85712 |    53.78795 |   1.732012 |    3.598159 | -1.699293 |    0.1911544 | 0.0101152450228 |  0.0101554404105 |
|    150403 |    150403A | GRB150403913 |           21.904 |           21.903 | 20.767 | 20.767 | -62.706 | -62.712 |    40.9 |  22.272 |          0.81 |     2.06 | 8.930864e-06 |   1.770645e-07 | 509.2573 |     33.6835 | -0.6716096 |  0.03419109 | -2.185594 |   0.07740498 |   23.7676976058 |    20.9899589794 |
|    150314 |    150314A | GRB150314205 |            4.921 |            4.914 |  8.444 |  8.445 |  63.839 |  63.834 |   14.79 |  10.688 |         0.143 |    1.758 | 1.594302e-05 |   1.957966e-07 | 298.0226 |    9.404712 | -0.4062712 |  0.02975524 |  -2.54075 |   0.08322588 |   31.8144569489 |    27.8562473379 |
|    150301 |    150301B | GRB150301818 |           19.634 |           19.635 |  5.944 |  5.944 | -57.969 | -57.977 |   12.44 |  13.312 |         1.557 |    1.516 | 5.098332e-07 |   6.204709e-08 | 173.9901 |    37.03205 | -0.9519986 |   0.1700398 | -8.472443 |     5166.644 |  0.813517315912 |   0.801318056192 |
|    141225 |    141225A | GRB141225959 |           23.019 |           23.021 |   9.25 |   9.25 |  33.774 |  33.795 |   40.24 |   56.32 |         4.891 |    0.915 | 5.388171e-07 |    6.85633e-08 | 144.9585 |    46.55534 |   1.020943 |    1.115846 | -1.949072 |    0.2712374 |   0.18700380706 |   0.185236874609 |
|    141221 |    141221A | GRB141221338 |            8.119 |             8.12 | 13.219 | 13.219 |   8.197 |   8.205 |    36.9 |  23.808 |         1.717 |    1.452 | 7.904256e-07 |    1.15847e-07 | 321.4502 |    113.6674 |  -1.075274 |   0.1512575 | -6.315468 |     663.1096 |   1.10628522094 |    1.11720022033 |
|    141220 |    141220A | GRB141220252 |            6.048 |            6.048 | 13.004 | 13.004 |  32.146 |  32.134 |    7.21 |   7.616 |         0.923 |    1.319 | 2.117483e-06 |   8.305089e-08 | 214.7644 |    13.25492 | -0.5247201 |   0.0726953 | -6.884309 |     114.6007 |     2.209439787 |    1.99407476008 |
|    141004 |    141004A | GRB141004973 |           23.348 |           23.348 |  5.115 |  5.117 |  12.828 |  12.824 |    3.92 |    2.56 |         0.607 |     0.57 | 9.200621e-07 |   6.785987e-08 | 31.42726 |    10.46519 |   0.430436 |    1.472029 | -1.876706 |   0.07295307 |  0.106140198144 |  0.0994596584992 |
|    140907 |    140907A | GRB140907672 |           16.119 |            16.12 |  3.209 |   3.21 |  46.596 |  46.595 |    79.2 |  35.841 |         5.473 |     1.21 | 3.966677e-07 |   5.942691e-08 | 100.9105 |    20.21665 | -0.5107521 |   0.3207389 | -2.697765 |    0.7343317 |  0.335569794984 |   0.339972097359 |
|    140703 |    140703A | GRB140703026 |            0.621 |            0.619 |  0.867 |  0.866 |  45.102 |  45.102 |    67.1 |  83.969 |         2.996 |     3.14 | 6.745515e-07 |   6.239824e-08 |  231.937 |    68.78095 | -0.6993421 |    0.205836 | -2.343059 |    0.6634687 |   5.53417873827 |    5.28960588395 |
|    140512 |    140512A | GRB140512814 |            19.53 |           19.528 | 19.291 | 19.291 | -15.087 |   -15.1 |   154.8 |  147.97 |          2.36 |    0.725 | 2.412542e-06 |   1.095499e-07 | 574.5997 |    95.10731 |  -1.000091 |  0.05600901 | -4.373419 |     15.75352 |  0.567255607734 |   0.515471996352 |
|    140506 |    140506A | GRB140506880 |           21.127 |           21.127 | 18.454 | 18.452 | -55.556 | -55.635 |   111.1 |  64.128 |         2.005 |    0.889 | 2.063603e-06 |   1.239047e-07 | 137.9078 |    21.04441 | -0.4840102 |    0.212411 | -2.426817 |    0.2519705 |  0.773736491529 |   0.714426830374 |
|    140423 |    140423A | GRB140423356 |            8.531 |            8.544 | 13.152 | 13.153 |  49.838 |  49.842 |   134.0 |  95.233 |        11.585 |     3.26 | 4.531803e-07 |   7.436924e-08 | 176.3977 |    85.90405 | -0.4857503 |    0.457935 | -2.060719 |     0.511084 |   3.53491415189 |    3.63180165918 |
|    140304 |    140304A | GRB140304557 |           13.375 |           13.375 |  2.044 |  2.043 |   33.48 |  33.474 |    15.6 |  31.232 |         8.719 |    5.283 | 3.665835e-07 |   6.775194e-08 | 165.1635 |    91.63031 | -0.5597252 |   0.5317759 | -2.065304 |    0.5721725 |   8.91235129137 |    9.34124462323 |
|    140213 |    140213A | GRB140213807 |            19.36 |           19.359 |  7.011 |  7.015 | -73.136 | -73.136 |    60.0 |  18.624 |         0.716 |    1.207 | 2.924191e-06 |    7.94907e-08 | 84.22611 |    3.368298 | -0.8443649 |  0.05713401 | -2.891428 |    0.1713115 |   2.68551115128 |    2.39141374734 |
|    140206 |    140206A | GRB140206304 |            7.289 |            7.304 |  9.688 |  9.689 |  66.762 |  66.761 |    93.6 |  27.264 |         1.243 |     2.73 | 2.626915e-06 |   9.661077e-08 | 112.1012 |    7.155801 |  0.6408532 |   0.2069289 |  -2.50134 |     0.120435 |   15.3023995995 |    13.7733962448 |
|    131105 |    131105A | GRB131105087 |            2.079 |            2.082 |  4.732 |  4.734 | -63.005 | -62.981 |   112.3 | 112.642 |         0.462 |    1.686 | 1.613066e-06 |   8.845868e-08 | 453.4917 |    75.79134 |  -1.031655 |  0.06232928 | -16.37695 |   14813320.0 |   3.20082799922 |    2.93881585478 |
|    131004 |    131004A | GRB131004904 |           21.684 |           21.684 | 19.741 | 19.741 |  -2.952 |   -2.96 |    1.54 |   1.152 |          0.59 |    0.717 | 8.913636e-07 |   2.606967e-07 | 143.9829 |    89.52818 |  -1.253728 |   0.4618787 | -19.41504 | 3146108000.0 |  0.237292144852 |   0.274255872147 |
|    130612 |    130612A | GRB130612141 |            3.373 |            3.373 | 17.318 |  17.32 |  16.729 |  16.706 |     4.0 |   7.424 |         6.192 |    2.006 | 1.963695e-07 |   3.381673e-08 | 22.64057 |    7.168792 |   4.746712 |    7.919028 | -2.153485 |    0.1783322 |  0.496905152676 |   0.514551856952 |
|    130610 |    130610A | GRB130610133 |            3.204 |            3.203 | 14.961 | 14.961 |  28.187 |   28.21 |    46.4 |   21.76 |         1.639 |    2.092 | 3.063095e-07 |   6.017107e-08 | 150.1687 |    55.75545 |  -1.088906 |   0.2963585 | -17.99561 |  679275800.0 |    1.1974864599 |    1.26902709864 |
|    130420 |    130420A | GRB130420313 |            7.475 |            7.506 | 13.075 | 13.074 |  59.421 |   59.42 |   123.5 | 104.962 |         8.809 |    1.297 | 2.968471e-07 |   3.130405e-08 | 58.71772 |    6.265651 | -0.0304168 |   0.5771997 | -21.30344 |  425580200.0 |  0.304132280762 |    0.29463078377 |
|    121211 |    121211A | GRB121211574 |           13.784 |           13.784 | 13.038 | 13.036 |  30.173 |  30.161 |   182.0 |   5.632 |         1.717 |    1.023 | 1.891271e-07 |   6.972677e-08 | 111.2914 |    44.98701 | -0.6449137 |   0.5417175 | -3.002151 |     3.076529 |  0.107131394595 |   0.131983769471 |
|    121128 |    121128A | GRB121128212 |            5.094 |            5.097 | 20.039 |  20.04 |  54.301 |    54.3 |    23.3 |  17.344 |         0.923 |      2.2 | 1.558807e-06 |    6.33829e-08 | 115.3063 |    6.532349 | -0.4591057 |   0.1087446 | -15.64179 |    2159731.0 |   6.05933219429 |    5.47742239528 |
|    120922 |    120922A | GRB120922939 |           22.508 |           22.536 | 15.651 |  15.65 | -20.181 | -20.182 |   173.0 | 182.275 |        19.777 |      3.1 | 1.985811e-07 |    3.59711e-08 | 65.40438 |    24.02708 |  -1.047324 |   0.6229689 |  -2.47594 |    0.6072668 |   2.27340383002 |    2.37444330866 |
|    120907 |    120907A | GRB120907017 |            0.406 |            0.407 |  4.982 |  4.983 |  -9.323 |  -9.315 |    16.9 |    5.76 |         1.778 |     0.97 | 4.084654e-07 |   7.799027e-08 | 133.8963 |    42.99683 | -0.9355976 |   0.3040822 | -8.877418 |     12518.22 |  0.212850914566 |   0.224395599959 |
|    120811 |    120811C | GRB120811649 |           15.581 |           15.582 | 13.313 | 13.314 |  62.297 |  62.291 |    26.8 |  14.336 |         6.557 |    2.671 |  5.21893e-07 |    6.55163e-08 | 32.60298 |    6.479752 |   4.591173 |    4.369969 | -2.232736 |    0.1643001 |   2.66250334078 |    2.63278826975 |
